ID	YEAR	IDyear	GROUP	SEX	RANK	ORD_RANK	%DOMINATED
0G5	2014	0G52014	F	F	2	H	97.2972973
1A3	2014	1A32014	F	F	42	L	43.24324324
1C0	2014	1C02014	F	F	28	M	62.16216216
2E1	2014	2_E12014	F	F	74	L	0
20F	2014	20F2014	F	F	43	L	41.89189189
24B	2014	24B2014	F	F	69	L	6.756756757
28J	2014	28J2014	F	F	68	L	8.108108108
29B	2014	29B2014	F	F	59	L	20.27027027
29Z	2014	29Z2014	F	F	63	L	14.86486486
2A2	2014	2A22014	F	F	70	L	5.405405405
2A5	2014	2A52014	F	F	72	L	2.702702703
2A7	2014	2A72014	F	F	37	M	50
2A8	2014	2A82014	F	F	26	M	64.86486486
3E2	2014	3_E22014	F	F	11	H	85.13513514
3E7	2014	3_E72014	F	F	62	L	16.21621622
32S	2014	32S2014	F	F	29	M	60.81081081
34N	2014	34N2014	F	F	40	L	45.94594595
35N	2014	35N2014	F	F	66	L	10.81081081
36Z	2014	36Z2014	F	F	57	L	22.97297297
3C3	2014	3C32014	F	F	44	L	40.54054054
40L	2014	40L2014	F	F	36	M	51.35135135
42L	2014	42L2014	F	F	50	L	32.43243243
43F	2014	43F2014	F	F	1	H	100
43J	2014	43J2014	F	F	4	H	94.59459459
44J	2014	44J2014	F	F	25	M	66.21621622
4C1	2014	4C12014	F	F	5	H	93.24324324
4C2	2014	4C22014	F	F	56	L	24.32432432
50I	2014	50I2014	F	F	38	L	48.64864865
50S	2014	50S2014	F	F	23	M	68.91891892
52P	2014	52P2014	F	F	71	L	4.054054054
55V	2014	55V2014	F	F	41	L	44.59459459
56E	2014	56E2014	F	F	32	M	56.75675676
57H	2014	57H2014	F	F	35	M	52.7027027
59A	2014	59A2014	F	F	18	M	75.67567568
5C0	2014	5C02014	F	F	3	H	95.94594595
60P	2014	60P2014	F	F	12	H	83.78378378
61J	2014	61J2014	F	F	39	L	47.2972973
62H	2014	62H2014	F	F	16	M	78.37837838
62V	2014	62V2014	F	F	58	L	21.62162162
63V	2014	63V2014	F	F	46	L	37.83783784
64D	2014	64D2014	F	F	34	M	54.05405405
64P	2014	64P2014	F	F	15	M	79.72972973
68V	2014	68V2014	F	F	65	L	12.16216216
6C0	2014	6C02014	F	F	8	H	89.18918919
6C3	2014	6C32014	F	F	64	L	13.51351351
6F2	2014	6F22014	F	F	21	M	71.62162162
78T	2014	78T2014	F	F	61	L	17.56756757
79Z	2014	79Z2014	F	F	33	M	55.40540541
7B7	2014	7B72014	F	F	47	L	36.48648649
7C0	2014	7C02014	F	F	20	M	72.97297297
7D8	2014	7D82014	F	F	24	M	67.56756757
8E8	2014	8_E82014	F	F	45	L	39.18918919
82A	2014	82A2014	F	F	7	H	90.54054054
82L	2014	82L2014	F	F	22	M	70.27027027
87K	2014	87K2014	F	F	49	L	33.78378378
8B0	2014	8B02014	F	F	27	M	63.51351351
8F3	2014	8F32014	F	F	73	L	1.351351351
90D	2014	90D2014	F	F	30	M	59.45945946
90P	2014	90P2014	F	F	53	L	28.37837838
92D	2014	92D2014	F	F	13	H	82.43243243
